Variable,Breakdown,Breakdown_category,Year,RD_Value,Units,Footnotes
_01_Current and Capital Expenditure: Total R&D Expenditure,ANZSIC_1_Digit,"A_Agriculture, Forestry and Fishing",2016,91,NZ Dollars (millions),8 and 20
_01_Current and Capital Expenditure: Total R&D Expenditure,ANZSIC_1_Digit,"A_Agriculture, Forestry and Fishing",2018,89,NZ Dollars (millions),8 and 20
_01_Current and Capital Expenditure: Total R&D Expenditure,ANZSIC_1_Digit,"A_Agriculture, Forestry and Fishing",2019,89,NZ Dollars (millions),8 and 9 and 20
_01_Current and Capital Expenditure: Total R&D Expenditure,ANZSIC_1_Digit,B_Mining,2016,5,NZ Dollars (millions),8 and 20
_01_Current and Capital Expenditure: Total R&D Expenditure,ANZSIC_1_Digit,B_Mining,2018,9,NZ Dollars (millions),8 and 20
_01_Current and Capital Expenditure: Total R&D Expenditure,ANZSIC_1_Digit,B_Mining,2019,9,NZ Dollars (millions),8 and 9 and 20
_01_Current and Capital Expenditure: Total R&D Expenditure,ANZSIC_1_Digit,C_Manufacturing,2016,671,NZ Dollars (millions),8 and 20
_01_Current and Capital Expenditure: Total R&D Expenditure,ANZSIC_1_Digit,C_Manufacturing,2018,673,NZ Dollars (millions),8 and 20
_01_Current and Capital Expenditure: Total R&D Expenditure,ANZSIC_1_Digit,C_Manufacturing,2019,763,NZ Dollars (millions),8 and 9 and 20
_01_Current and Capital Expenditure: Total R&D Expenditure,ANZSIC_1_Digit,"D_Electricity, Gas, Water and Waste Services",2016,6,NZ Dollars (millions),8 and 20
_01_Current and Capital Expenditure: Total R&D Expenditure,ANZSIC_1_Digit,"D_Electricity, Gas, Water and Waste Services",2018,6,NZ Dollars (millions),8 and 20
_01_Current and Capital Expenditure: Total R&D Expenditure,ANZSIC_1_Digit,E_Construction,2016,13,NZ Dollars (millions),8 and 20
_01_Current and Capital Expenditure: Total R&D Expenditure,ANZSIC_1_Digit,E_Construction,2018,11,NZ Dollars (millions),8 and 20
_01_Current and Capital Expenditure: Total R&D Expenditure,ANZSIC_1_Digit,E_Construction,2019,12,NZ Dollars (millions),8 and 9 and 20
_01_Current and Capital Expenditure: Total R&D Expenditure,ANZSIC_1_Digit,F_Wholesale Trade,2016,111,NZ Dollars (millions),8 and 20
_01_Current and Capital Expenditure: Total R&D Expenditure,ANZSIC_1_Digit,F_Wholesale Trade,2018,233,NZ Dollars (millions),8 and 20
_01_Current and Capital Expenditure: Total R&D Expenditure,ANZSIC_1_Digit,F_Wholesale Trade,2019,180,NZ Dollars (millions),8 and 9 and 20
_01_Current and Capital Expenditure: Total R&D Expenditure,ANZSIC_1_Digit,J_Information Media and Telecommunications,2016,52,NZ Dollars (millions),8 and 20
_01_Current and Capital Expenditure: Total R&D Expenditure,ANZSIC_1_Digit,J_Information Media and Telecommunications,2018,90,NZ Dollars (millions),8 and 20
